"WC","WPS","Sixltr","Dic","function.","pronoun","ppron","i","we","you","shehe","they","ipron","article","prep","auxverb","adverb","conj","negate","verb","adj","compare","interrog","number","quant","affect","posemo","negemo","anx","anger","sad","social","family","friend","female","male","cogproc","insight","cause","discrep","tentat","certain","differ","percept","see","hear","feel","bio","body","health","sexual","ingest","drives","affiliation","achieve","power","reward","risk","focuspast","focuspresent","focusfuture","relativ","motion","space","time","work","leisure","home","money","relig","death","informal","swear","netspeak","assent","nonflu","filler","AllPunc","Period","Comma","Colon","SemiC","QMark","Exclam","Dash","Quote","Apostro","Parenth","OtherP"
20,20,30,65,30,15,15,0,10,0,0,0,5,5,0,0,5,5,0,15,5,5,0,5,5,0,0,0,0,0,0,15,0,5,0,5,15,5,0,0,10,5,0,0,0,0,0,5,0,5,0,0,20,15,0,0,5,0,5,10,5,10,0,0,10,10,0,0,0,0,0,10,0,5,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0
28,28,39.29,39.29,7.14,0,0,0,0,0,0,0,0,0,3.57,3.57,3.57,0,0,17.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.86,14.29,7.14,0,3.57,0,0,0,0,0,0,7.14,0,7.14,7.14,0,0,0,0,0,0,0,7.14,7.14,0,3.57,3.57,0,0,7.14,0,0,0,0,0,3.57,0,0,0,0,3.57,0,0,0,0,0,0,0,0,0,0,0,0
9,9,44.44,33.33,22.22,0,0,0,0,0,0,0,0,11.11,0,11.11,0,0,0,11.11,11.11,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0
29,29,48.28,31.03,6.9,3.45,0,0,0,0,0,0,3.45,0,0,0,3.45,0,0,10.34,6.9,0,0,0,0,6.9,3.45,3.45,0,0,0,3.45,0,0,0,0,10.34,0,0,3.45,0,6.9,0,0,0,0,0,0,0,0,0,0,13.79,0,0,3.45,3.45,6.9,3.45,0,0,17.24,6.9,6.9,3.45,3.45,0,0,0,0,0,0,0,0,0,0,0,3.45,0,0,0,0,0,0,0,0,3.45,0,0
8,8,37.5,37.5,37.5,0,0,0,0,0,0,0,0,0,25,12.5,0,12.5,0,12.5,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,12.5,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,25,50,16.67,0,0,0,0,0,0,0,0,0,8.33,0,0,16.67,0,25,8.33,8.33,0,0,0,8.33,0,8.33,0,8.33,0,0,0,0,0,0,25,16.67,0,8.33,8.33,0,0,8.33,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,8.33,0,8.33,0,0,0,0,0,0,8.33,16.67,0,8.33,8.33,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0
25,25,32,52,28,4,0,0,0,0,0,0,0,8,8,4,8,4,0,16,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,4,0,0,0,0,0,8,4,4,0,0,0,0,0,0,8,4,0,0,4,0,8,12,4,16,4,4,8,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22,45.45,36.36,9.09,4.55,4.55,0,4.55,0,0,0,0,0,4.55,0,0,4.55,0,13.64,4.55,4.55,0,0,0,4.55,0,4.55,0,0,0,4.55,0,0,0,0,9.09,0,4.55,4.55,0,0,0,0,0,0,0,9.09,4.55,0,0,9.09,13.64,4.55,4.55,0,4.55,4.55,13.64,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,42.11,42.11,10.53,5.26,0,0,0,0,0,0,0,0,0,0,5.26,0,0,15.79,15.79,0,0,5.26,5.26,10.53,10.53,0,0,0,0,10.53,0,5.26,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,5.26,21.05,5.26,10.53,5.26,5.26,0,5.26,10.53,5.26,10.53,5.26,5.26,0,5.26,0,0,0,0,0,10.53,0,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
11,11,27.27,72.73,36.36,18.18,0,0,0,0,0,0,9.09,0,9.09,0,18.18,0,0,27.27,18.18,0,0,0,0,9.09,9.09,0,0,0,0,9.09,0,0,0,0,9.09,0,0,0,0,9.09,0,9.09,0,0,0,18.18,0,0,0,18.18,0,0,0,0,0,0,18.18,27.27,0,9.09,0,9.09,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,50,68.75,6.25,0,0,0,0,0,0,0,0,0,6.25,0,0,6.25,0,0,18.75,12.5,0,0,12.5,12.5,0,12.5,0,6.25,0,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,6.25,0,0,0,12.5,6.25,0,6.25,0,0,0,0,0,25,0,12.5,12.5,6.25,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,55.56,66.67,22.22,11.11,0,0,0,0,0,0,0,0,0,0,11.11,0,0,22.22,11.11,0,0,0,0,11.11,11.11,0,0,0,0,11.11,0,0,0,0,33.33,22.22,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,11.11,0,0,0,22.22,22.22,0,11.11,11.11,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21,61.9,33.33,9.52,9.52,9.52,0,0,4.76,0,0,4.76,0,0,0,0,0,0,9.52,0,0,0,4.76,0,0,0,0,0,0,0,23.81,0,0,0,0,19.05,19.05,0,0,9.52,0,0,0,0,0,0,0,0,0,0,0,4.76,0,0,4.76,0,0,4.76,9.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,68,32,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,16,4,0,0,0,0,12,4,8,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,12,0,0,8,4,0,0,16,0,4,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
